"Answer Reply","Customer Question","Product","Version"
"Open terminal then type this command:

mysql -u root -p
SHOW DATABASES;
USE nebero;
SHOW TABLES;
DESCRIBE local_networks;
","How to check columns of local_networks table?","Firewall",""
"Open terminal then type this command:

mysql -u root -p
SHOW DATABASES;
USE nebero;
SHOW TABLES;
DESCRIBE local_networks_open_vpn_configs;
","How to check columns of local_networks_open_vpn_configs table?","Firewall",""
"Open terminal then type this command:

mysql -u root -p
SHOW DATABASES;
USE nebero;
SHOW TABLES;
DESCRIBE local_networks_ssl_server_configs;
","How to check columns of local_networks_ssl_server_configs table?","Firewall",""
"Open terminal then type this command:

mysql -u root -p
SHOW DATABASES;
USE nebero;
SHOW TABLES;
DESCRIBE log_pauth_users;
","How to check columns of log_pauth_users table?","Firewall",""
"Phone number is marked as a required field for identity and recovery purposes. Enter a valid number to proceed.","Why can't I save a new user without entering a phone number","Mail Server","3.9.0"
"Open terminal then type this command:

mysql -u root -p
SHOW DATABASES;
USE nebero;
SHOW TABLES;
DESCRIBE log_ssl_servers;
","How to check columns of log_ssl_servers table?","Firewall",""
"Open terminal then type this command:

mysql -u root -p
SHOW DATABASES;
USE nebero;
SHOW TABLES;
DESCRIBE log_two_way_users;
","How to check columns of log_two_way_users table?","Firewall",""
"Open the user account, scroll to Autoresponder, check Enable autoresponder, and fill in subject, dates, and message.","How do I enable auto-responder for a user","Mail Server","3.9.0"
"Open terminal then type this command:

mysql -u root -p
SHOW DATABASES;
USE nebero;
SHOW TABLES;
DESCRIBE login_logs;
","How to check columns of login_logs table?","Firewall",""
"Open terminal then type this command:

mysql -u root -p
SHOW DATABASES;
USE nebero;
SHOW TABLES;
DESCRIBE login_report_graph;
","How to check columns of login_report_graph table?","Firewall",""
"Open terminal then type this command:

mysql -u root -p
SHOW DATABASES;
USE nebero;
SHOW TABLES;
DESCRIBE ltwotpvpn_config;
","How to check columns of ltwotpvpn_config table?","Firewall",""
"Open terminal then type this command:

mysql -u root -p
SHOW DATABASES;
USE nebero;
SHOW TABLES;
DESCRIBE ltwotpvpn_users;
","How to check columns of ltwotpvpn_users table?","Firewall",""
"Open terminal then type this command:

mysql -u root -p
SHOW DATABASES;
USE nebero;
SHOW TABLES;
DESCRIBE ltwotpvpn_users_logs;
","How to check columns of ltwotpvpn_users_logs table?","Firewall",""
"Open terminal then type this command:

mysql -u root -p
SHOW DATABASES;
USE nebero;
SHOW TABLES;
DESCRIBE manual_isp;
","How to check columns of manual_isp table?","Firewall",""
"Edit the User and Uncheck Receiving or select Disable sending, depending on the restriction you need.","How do I disable a user temporarily without deleting them","Mail Server","3.9.0"
"Open terminal then type this command:

mysql -u root -p
SHOW DATABASES;
USE nebero;
SHOW TABLES;
DESCRIBE map_pools;
","How to check columns of map_pools table?","Firewall",""
"It prevents the user from sending email while still allowing them to receive mail","What does “Disable sending” do","Mail Server","3.9.0"
"Open terminal then type this command:

mysql -u root -p
SHOW DATABASES;
USE nebero;
SHOW TABLES;
DESCRIBE menus;
","How to check columns of menus table?","Firewall",""
"It blocks IMAP access and webmail login for the user, but SMTP and POP3 may still work depending on settings.","What does “Disable IMAPs and webmail” mean","Mail Server","3.9.0"
"Yes, check the Disable POP3s box in the user settings.","Can I restrict only POP3 access","Mail Server","3.9.0"
"Open terminal then type this command:

mysql -u root -p
SHOW DATABASES;
USE nebero;
SHOW TABLES;
DESCRIBE netify_application_categories;
","How to check columns of netify_application_categories table?","Firewall",""
"Open terminal then type this command:

mysql -u root -p
SHOW DATABASES;
USE nebero;
SHOW TABLES;
DESCRIBE netify_applications;
","How to check columns of netify_applications table?","Firewall",""
"Open terminal then type this command:

mysql -u root -p
SHOW DATABASES;
USE nebero;
SHOW TABLES;
DESCRIBE netify_debug;
","How to check columns of netify_debug table?","Firewall",""
"Open terminal then type this command:

mysql -u root -p
SHOW DATABASES;
USE nebero;
SHOW TABLES;
DESCRIBE netify_flow_info;
","How to check columns of netify_flow_info table?","Firewall",""
"Open terminal then type this command:

mysql -u root -p
SHOW DATABASES;
USE nebero;
SHOW TABLES;
DESCRIBE netify_protocol_categories;
","How to check columns of netify_protocol_categories table?","Firewall",""
"Open terminal then type this command:

mysql -u root -p
SHOW DATABASES;
USE nebero;
SHOW TABLES;
DESCRIBE netify_protocols;
","How to check columns of netify_protocols table?","Firewall",""
"Too many failed login attempts may trigger a lockout. It clears automatically or can be reset by admin.","Why is my user locked out","Mail Server","3.9.0"
"It contains rules that categorize, reject, or quarantine spam emails.","What is the Spamfilter section for?","Mail Server","3.9.0"
"Internal aliases work only within the domain; external aliases forward outside.","What is the difference between Internal and External aliases","Mail Server","3.9.0"
"1. First check ping of that website via main ISP.
2. Then check ping Via 2nd ISP.
In this case First ping will not work but 2nd will work.
3. so simply route the traffic to 2nd website via this cmd:
ip route add <website IP> via <IP> src <gateway> dev <int>

now check ping via main ISP it will work.","User have two ISP's, default one is blocked by xyz.com website. how to route traffic via 2nd ISP only that specific website traffic ???","Firewall",""
"Edit the IVR and adjust the Timeout value. This controls how long the system waits for user input before executing the fallback action.","How do I change the IVR timeout","IPBX / VoIP","1.1.7"
"a. Navigate to Gateway and scroll down to Codec Pref.
b. Reorder or select preferred codecs (G.711, G.729, Opus).
c. Save and have the device re-register.","How do I change  codec preferences","IPBX / VoIP","1.1.7"
"Open terminal then type this command

mysql -u root -p
SHOW DATABASES;
USE nebero;
SHOW TABLES;
SHOW GLOBAL STATUS LIKE 'Uptime';
","How to check MySQL server uptime?","Firewall",""
"Open terminal then type this command

mysql -u root -p
SHOW DATABASES;
USE nebero;
SHOW TABLES;
SELECT user, host FROM mysql.user;
","How to check which user is connected to MySQL?","Firewall",""
"Open terminal then type this command

mysql -u root -p
SHOW DATABASES;
USE nebero;
SHOW TABLES;
SELECT VERSION();
","How to check MySQL server version?","Firewall",""
"Open terminal then type this command

mysql -u root -p
SHOW DATABASES;
USE nebero;
SHOW TABLES;
SELECT DATABASE();
","How to show current database name?","Firewall",""
"Open terminal then type this command

mysql -u root -p
SHOW DATABASES;
USE nebero;
SHOW TABLES;
SHOW PROCESSLIST;
","How to view active MySQL connections?","Firewall",""
"Open terminal then type this command

mysql -u root -p
SHOW DATABASES;
USE nebero;
SHOW TABLES;
KILL 1234;
","How to kill a specific MySQL process ID?","Firewall",""
"Open terminal then type this command

mysql -u root -p
SHOW DATABASES;
USE nebero;
SHOW TABLES;
SET GLOBAL general_log = 1;
","How to enable MySQL general log?","Firewall",""
"Open terminal then type this command

mysql -u root -p
SHOW DATABASES;
USE nebero;
SHOW TABLES;
SET GLOBAL general_log = 0;
","How to disable general log?","Firewall",""
"Open terminal then type this command

mysql -u root -p
SHOW DATABASES;
USE nebero;
SHOW TABLES;
SHOW VARIABLES LIKE 'general_log';
","How to check general log status?","Firewall",""
"Open terminal then type this command

mysql -u root -p
SHOW DATABASES;
USE nebero;
SHOW TABLES;
SHOW VARIABLES;
","How to list all MySQL variables?","Firewall",""
"Open terminal then type this command

mysql -u root -p
SHOW DATABASES;
USE nebero;
SHOW TABLES;
SET GLOBAL max_connections = 500;
","How to change max connections temporarily?","Firewall",""
"Open terminal then type this command

mysql -u root -p
SHOW DATABASES;
USE nebero;
SHOW TABLES;
SHOW VARIABLES LIKE 'max_connections';
","How to check current max connections?","Firewall",""
"Open terminal then type this command

mysql -u root -p
SHOW DATABASES;
USE nebero;
SHOW TABLES;
RESET QUERY CACHE;
","How to clear MySQL query cache?","Firewall",""
"Open terminal then type this command

mysql -u root -p
SHOW DATABASES;
USE nebero;
SHOW TABLES;
FLUSH PRIVILEGES;
","How to flush all privileges?","Firewall",""
"Open terminal then type this command

mysql -u root -p
SHOW DATABASES;
USE nebero;
SHOW TABLES;
SHOW VARIABLES LIKE 'log_error';
","How to see MySQL error log path?","Firewall",""
"Open terminal then type this command

systemctl status dnsmasq
","Check if dnsmasq service is running","Firewall",""
"Open terminal then type this command

dnsmasq --version
","Check dnsmasq version","Firewall",""
"Open terminal then type this command

tail -f /var/log/syslog | grep dnsmasq
","Check dnsmasq logs (syslog)","Firewall",""
"","Check if netifyd service is running","Firewall",""
"Open terminal then type this command

systemctl status netifyd
","Check if netifyd service is running","Firewall",""
"Open terminal then type this command

systemctl start netifyd
","Start netifyd service","Firewall",""
"Open terminal then type this command

systemctl stop netifyd
","Stop netifyd service","Firewall",""
"Open terminal then type this command

systemctl restart netifyd
","Restart netifyd service","Firewall",""
"Open terminal then type this command

ps aux | grep netify
","Check if netifyd process is running","Firewall",""
"Open terminal then type this command

tail -f /var/log/syslog | grep -i netify
","Check netifyd logs (live logs)","Firewall",""
"Open terminal then type this command

grep -i netify /var/log/syslog
","Check netifyd full logs","Firewall",""
"Open terminal then type this command

systemctl is-enabled netifyd
","Check netifyd service enable/disable status","Firewall",""
"Open terminal then type this command

systemctl enable netifyd
","Enable netifyd to start automatically on boot","Firewall",""
"Open terminal then type this command

systemctl disable netifyd
","Disable netifyd autostart","Firewall",""
"Open terminal then type this command
netifyd -V
","Check netifyd version","Firewall",""
"Open terminal then type this command

cat /etc/netifyd.conf
","Check netifyd configuration file","Firewall",""
"Open terminal then type this command

netifyd --test-config
","Validate netifyd configuration","Firewall",""
"Open terminal then type this command

netifyd -d
","Check netifyd network detection activity","Firewall",""
"Open terminal then type this command

netifyd -l
","Check Netify Flow Info (if available)","Firewall",""
"Open terminal then type this command

crontab -l
","How to check current crontab jobs?","Firewall",""
"Open terminal then type this command

crontab -e
","How to edit crontab jobs?","Firewall",""
"Open terminal then type this command

crontab -r
","How to delete all crontab jobs?","Firewall",""
"Open terminal then type this command

systemctl status cron
","How to check cron service is running?","Firewall",""
"Open terminal then type this command

grep CRON /var/log/syslog
","How to check cron logs?","Firewall",""
"Open terminal then type this command

crontab -e

then please add this line 

* * * * * /path/to/script.sh

","How to run a cron job every minute?","Firewall",""
"Open terminal then type this command

crontab -e

then add this cmd

@reboot /path/to/script.sh
","How to run a script at system reboot?","Firewall",""
"Open terminal then type this command

crontab -e

Now add this line 
0 2 * * * /path/to/script.sh
","How to run cron job daily?","Firewall",""
"Open terminal then type this command

crontab -e

Add LIne....

* * * * * /path/to/script.sh >> /var/log/myscript.log 2>&1
","How to log cron job output?","Firewall",""
"Open terminal then type this command

tail -f /var/log/syslog | grep cron

Open terminal then type this command

systemctl restart cron
","How to fix cron job not running?","Firewall",""
"a. Create the main IVR (Level 1).
b. Create additional IVRs (Level 2, Level 3).
c. Edit the Level-1 IVR.
d. Assign a digit (e.g., “2”) to route to the Level-2 IVR.
e. Save the changes.
f. Repeat for additional levels as needed.","How do I create a multi-level IVR","IPBX / VoIP","1.1.7"
"Open terminal then type this command

nginx -v
","How to check Nginx version?","Firewall",""
"Open terminal then type this command

systemctl status nginx
","How to check if Nginx service is running?","Firewall",""
"Open terminal then type this command

systemctl start nginx
","How to start Nginx service?","Firewall",""
"Open terminal then type this command

systemctl stop nginx
","How to stop Nginx service?","Firewall",""
"Open terminal then type this command

systemctl restart nginx
","How to restart Nginx service?","Firewall",""
"Open terminal then type this command

systemctl reload nginx
","How to reload Nginx (without downtime)?","Firewall",""
"Open terminal then type this command

nginx -t
","How to test Nginx configuration for errors?","Firewall",""
"Open terminal then type this command

nginx -t

Output showing : /etc/nginx/nginx.conf","How to find Nginx main config file?","Firewall",""
"Open terminal then type this command

netstat -tulpn | grep :80
","How to check which process is using port 80 for Nginx?","Firewall",""
"Open terminal then type this command

tail -f /var/log/nginx/access.log
","How to view Nginx access logs?","Firewall",""
"a. Edit the queue.
b. Confirm Time Out Action is not set to “hangup.”
c. Change Time Out Action to a proper destination (IVR, ring group, agent).
d. Ensure Max Wait Time is not set to 00:00.
e. Save and test the queue.","Callers are getting disconnected when nobody is answering. How do I fix it","IPBX / VoIP","1.1.7"
"Open terminal then type this command

journalctl -u netifyd -f
","How to check Netifyd service logs?","Firewall",""
"a. Edit the queue.
b. Check the Greeting dropdown — ensure it’s not set to “nothing.”
c. Verify the Greeting Value contains the correct audio file.
d. Confirm the audio file exists under Recordings.
e. Re-upload the audio if required.
f. Save and test.","The queue greeting is not playing. Why","IPBX / VoIP","1.1.7"
"Open terminal then type this command

grep -i ""error"" /var/log/netifyd.log
","How to check Netifyd error logs?","Firewall",""
"Open terminal then type this command

journalctl -u netifyd --since ""today""
","How to check Netifyd startup logs?","Firewall",""
"Open terminal then type this command

grep ""drop"" /var/log/netifyd.log
","How to check Netifyd dropped packets?","Firewall",""
"Open terminal then type this command

tail -f /var/log/nginx/access.log
","How to check Nginx access logs?","Firewall",""
"Open terminal then type this command

tail -f /var/log/nginx/error.log
","How to check Nginx error logs?","Firewall",""
"Open terminal then type this command

grep ""404"" /var/log/nginx/access.log
","How to search 404 errors in Nginx logs?","Firewall",""
"Open terminal then type this command

tail -n 100 /var/log/nginx/access.log
","How to view last 100 Nginx logs?","Firewall",""
"Open terminal then type this command

tail -f /var/log/nginx/access.log /var/log/nginx/error.log
","How to check Nginx logs in real time?","Firewall",""
"Open terminal then type this command

tail -f /var/log/syslog
","How to view syslog live?","Firewall",""
"Open terminal then type this command

grep -i ""error"" /var/log/syslog
","How to check system errors in syslog?","Firewall",""
"Open terminal then type this command

journalctl --since today
","How to check logs of today only?","Firewall",""
"Open terminal then type this command

dmesg -T
","How to check kernel logs?","Firewall",""
"Open terminal then type this command

grep -i ""iptables"" /var/log/syslog
","How to check firewall logs in syslog?","Firewall",""
"Open terminal then type this command

tail -f /var/log/filter.log
","How to check filter (web filter) logs?","Firewall",""
"Open terminal then type this command

grep ""BLOCK"" /var/log/filter.log
","How to check blocked URLs?","Firewall",""
"Open terminal then type this command

grep ""category"" /var/log/filter.log
","How to check category blocked logs?","Firewall",""
"That agent’s extension is not mapped properly.

Calls dialed from mobile dialer instead of system softphone.

The campaign is not configured to log outbound calls","Why are outbound calls missing from CDR","IPBX / VoIP","1.1.7"
"Open terminal then type this command

tail -f /var/log/filter.log
","How to check real-time filter logs?","Firewall",""
"Open terminal then type this command

grep ""error"" /var/log/filter.log
","How to check filter errors?","Firewall",""
"Open terminal then type this command

tail -f /var/log/auth.log
","How to check user login logs?","Firewall",""
"Open terminal then type this command

who
","How to check which user is currently online?","Firewall",""
"Open terminal then type this command

last
","How to check user activity logs (commands history)?","Firewall",""
"Open terminal then type this command

grep ""Failed"" /var/log/auth.log
","How to check user login failures?","Firewall",""
"Open terminal then type this command

du -h /var/log/auth.log
","How to check user report log file size?","Firewall",""
"Open terminal then type this command

journalctl --since ""2 hours ago""
","How to check system logs from last 2 hours?","Firewall",""
"Open terminal then type this command

grep -i ""power"" /var/log/syslog
","How to check power failure logs?","Firewall",""
"Open terminal then type this command

grep -i ""panic"" /var/log/kern.log
","How to check kernel panic logs?","Firewall",""
"Open terminal then type this command

journalctl -xe
","How to check service start/stop logs?","Firewall",""
"Open terminal then type this command

grep -i ""hardware"" /var/log/syslog
","How to check hardware errors?","Firewall",""
"Open terminal then type this command

grep ""BLOCK"" /var/log/syslog
","How to check blocked packets?","Firewall",""
"Open terminal then type this command

grep ""NAT"" /var/log/syslog
","How to check NAT logs?","Firewall",""
"Open terminal then type this command

grep ""DROP"" /var/log/syslog
","How to check connection drops?","Firewall",""
"Open terminal then type this command

iptables -L -v
","How to check firewall hits count?","Firewall",""
"Open terminal then type this command

grep ""INPUT"" /var/log/syslog
","How to check advanced firewall logs by chain?","Firewall",""
"Open terminal then type this command

grep ""query"" /var/log/syslog
","How to check DNS query logs?","Firewall",""
"Open terminal then type this command

grep ""refused"" /var/log/syslog
","How to check DNS refused logs?","Firewall",""
"Open terminal then type this command

grep ""timed out"" /var/log/syslog
","How to check DNS timeout logs?","Firewall",""
"Open terminal then type this command

cat /var/lib/misc/dnsmasq.leases
","How to check DHCP lease logs?","Firewall",""
"Open terminal then type this command

grep -i ""dns"" /var/log/syslog
","How to check DNS errors?","Firewall",""
"Open terminal then type this command

grep ""VPN"" /var/log/syslog
","How to check VPN connection logs?","Firewall",""
"Login time

Logout time

Total session duration

Total call duration

Total calls

Wrap-up time

Reconnect count

Logged-in campaigns","What does Agent Summary Report show","IPBX / VoIP","1.1.7"
"Open terminal then type this command

grep ""AUTH"" /var/log/openvpn.log
","How to check VPN user login logs?","Firewall",""
"Open terminal then type this command

grep ""disconnect"" /var/log/openvpn.log
","How to check VPN disconnect logs?","Firewall",""
"Open terminal then type this command

grep ""TLS"" /var/log/openvpn.log
","How to check VPN handshake logs?","Firewall",""
"Open terminal then type this command

grep ""drop"" /var/log/openvpn.log
","How to check dropped VPN packets?","Firewall",""
"Open terminal then type this command

dmesg | head
","How to check kernel boot logs?","Firewall",""
"Open terminal then type this command

dmesg | grep eth
","How to check network driver errors?","Firewall",""
"Open terminal then type this command

dmesg | grep irq
","How to check hardware IRQ logs?","Firewall",""
"Open terminal then type this command

grep -i ""Out of memory"" /var/log/kern.log
","How to check kernel OOM (Out of Memory) logs?","Firewall",""
"Open terminal then type this command

grep ""request_time"" /var/log/nginx/access.log | awk '$NF > 1'
","How to check Nginx logs for slow requests? (Requests > 1 second)","Firewall",""
"Open terminal then type this command

grep "" 500 "" /var/log/nginx/access.log | awk '{print $7}' | sort | uniq -c | sort -nr
","How to check which URLs are causing 500 errors","Firewall",""
"Open terminal then type this command

awk '{print $1}' /var/log/nginx/access.log | sort | uniq -c | sort -nr | head
","How to check Nginx logs for repeated attacks (same IP hitting many times)?","Firewall",""
"Open terminal then type this command

awk '{print $7}' /var/log/nginx/access.log | sort | uniq -c | sort -nr | head -20
","How to check top 20 most visited URLs?","Firewall",""
"Open terminal then type this command

grep ""upstream timed out"" /var/log/nginx/error.log
","How to check if Nginx is returning upstream timeouts?","Firewall",""
"a. Set date range to Today.
b. Leave all other filters blank.
c. Click Search.
d. View the counter showing Total Records.","How do I check the total number of calls handled in a day","IPBX / VoIP","1.1.7"
"a. In CDR, locate the call entry you want to review.
b. Look for the Recording column.
c. If a recording exists, click the Play / Download icon.
d. The audio file will open or download based on browser settings.","How can I check recording files from the CDR page","IPBX / VoIP","1.1.7"
"1. Open Nebro admin panel → Firewall.

2. For rules: Policies / Rules → Add Rule → set Source, Destination, Service (port), Action (Allow/Deny), Schedule → Save.

3. For NAT / Port Forward: NAT tab → Add → public port, internal IP:port, protocol → Save.

4. For IP/MAC binding: IP/MAC Binding → Add device MAC and fixed IP → Save.","How to add firewall rules, NAT, or IP/MAC binding?","Firewall",""
"Open Nebro admin panel → Reports.

Choose report type: User Activity / Bandwidth / Security / VPN / Web Filter.

Select time range and filters (user, IP, interface) → Generate.

Export as PDF/CSV if required.

Schedule reports (weekly/monthly) if feature available.","How to view logs and generate reports (Reports)?","Firewall",""
"Open Nebro admin panel.

Go to Users → User List.

Search user. Check these:

Plan active checking

 Expiry ho checking 

 Quota full?

 User Disabled?

Go to Reports → User Log.

See error:

Authentication failed

MAC mismatch

Blocked by firewall

Quota over

Portal login failed

Fix issue accordingly.","How to check why a user is not getting internet?","Firewall",""
"Open terminal then type this command

systemctl restart dnsmasq
systemctl restart firewall
systemctl restart pauth
systemctl restart dhcpd

","Restart Backend Services","Firewall",""
"Sign in to Outlook Web (outlook.office.com or your company webmail).

Click the Settings  icon at top-right.

Click View all Outlook settings at the bottom of the settings pane.

Choose Mail → Rules.

Click Add new rule to start.","How do I open the Rules page in Outlook Web?","Mail Server",""
"pen Mail → Rules → Add new rule.

Name the rule: e.g., Move — sender@company.com.

Condition: From → type sender@company.com (or @domain.com for whole domain).

Action: Move to → select or create the target folder.

(Optional) Add Exception: e.g., If subject includes Invoice → then Do not move.

Click Save.","How do I create a rule to move all mail from a sender to a folder?","Mail Server",""
"Rules → Add new rule.

Name: Move — Invoice.

Condition: Subject includes → enter Invoice (or Invoice, Bill, Receipt separated by commas).

Action: Move to → choose Finance/Invoices.

Save.","How do I auto-move emails whose subject contains certain words (like “Invoice”)?","Mail Server",""
"Rules → Add new rule.

Condition: From contains @newsletter.com or Subject includes Newsletter.

Actions: Mark as read AND Move to → Newsletters folder.

Save.","How do I mark newsletters as read automatically and keep them in a folder?","Mail Server",""
"Rules → Add new rule.

Condition: From contains @suspiciousdomain.xyz or Subject/Body contains spam keywords.

Action: Move to Junk (safer) or Delete (permanent).

Save.
Note: Test first — use Move to Junk before Delete to avoid false positives.","How do I automatically move spammy domains to Junk or Delete them?","Mail Server",""
"ules → Add new rule.

Condition: e.g., To or Cc includes support@company.com or Subject includes Support.

Action: Forward to → enter helpdesk@company.com.

(Optional) Action: Delete original or Move to folder.

Save.","How do I forward specific incoming mails to another mailbox (e.g., support)?","Mail Server",""
"Desktop: Home → Rules → Manage Rules & Alerts → New Rule → Apply rule on messages I receive → Advanced Options → choose condition.

Action: choose reply using a specific template (create the template first).

Save.
Web tip: Outlook Web has limited rule-based reply; for broad auto-replies use Automatic replies (Out of Office) from Settings → Mail → Automatic replies.","How do I auto-reply to certain senders with a custom message?
","Mail Server",""
"Rules → Add new rule.

Condition: e.g., From contains manager@company.com or Subject includes Action Required.

Action: Mark with category → choose category (e.g., Follow-Up) OR Flag message.

Save.","How do I flag or categorize messages automatically for follow-up?","Mail Server",""
"Rules → Add new rule.

Condition: From contains boss@company.com or important client addresses.

Action: Move to Inbox (or Stop processing more rules + Categorize VIP).

Save.","How do I make sure emails from important people (VIPs) always stay in my Inbox?","Mail Server",""
"While creating the rule, add Action: Stop processing more rules (or check the box if present).

Save.

In Desktop: you can reorder rules in Manage Rules & Alerts so the stop-rule is higher in priority.","How do I stop other rules running after this rule matches?

","Mail Server",""
"Rules → Add new rule.

Condition: Cc includes → your email AND optionally To does not include your email.

Action: Move to → CCs folder; optionally Mark as read.

Save.","How do I filter messages where I’m only in CC and move them to a folder?
","Mail Server",""
"Desktop Outlook: Home → Rules → Manage Rules & Alerts → New Rule → Advanced Options.

Condition: choose with size in a specific range or greater than → set 10 MB.

Action: Move to Large Attachments folder OR Delete.

Save.","How do I filter very large emails (size > 10 MB)?","Mail Server",""
"Create the rule but set the action to Move messages that meet the condition from the Inbox (or add a temporary action: Copy to a test folder).

Run the rule manually on existing messages (Desktop: Manage Rules & Alerts → Run Rules Now → select the rule → Run on folder).

Confirm results in test folder.

If OK, change action to final (Move/Delete) and save.","How do I test a new rule safely before it affects new mail?
","Mail Server",""
"Put very specific rules (sender + subject) at top.

Put broad rules (domain-wide, keywords) below.

Keep Stop processing more rules on rules that must be final.

Reorder in Desktop: Home → Rules → Manage Rules & Alerts → use up/down arrows.","How should I order rules for best results?","Mail Server",""
"a. Click Advance Filters at the top.
b. Open the Mail User Type dropdown.
c. Select the required type (e.g., Google Workspace, Zaxtom).
d. The list updates automatically.","How to filter users by Mail User Type","Mail Server","3.9.0"
"a. Go to Advance Filters.
b. Open the Department drop down.
c. Select the required department name.
d. View the filtered users in the list below.","How to filter users by Department","Mail Server","3.9.0"
"a. Open Advance Filters.
b. Click the Designation dropdown.
c. Choose the designation (e.g., Officer, Manager).
d. Results appear instantly.","How to filter users by Designation","Mail Server","3.9.0"
"a. Open Advance Filters.
b. Click the IMAPs dropdown.
c. Select Yes to show users with IMAP enabled.
d. Select No to find users without IMAP.","How to check which users have IMAP enabled","Mail Server","3.9.0"
"a. Open Advance Filters.
b. Click POP3s dropdown.
c. Choose Yes or No.
d. View the filtered list.","How to filter users by POP3 status","Mail Server","3.9.0"
"a. Go to Advance Filters.
b. Open the Lock Status dropdown.
c. Select Yes or No.
d. The table will display matching users","How to find locked or suspended users","Mail Server","3.9.0"
"a. Open Advance Filters.
b. Use the Aliases Count field with =, >, or < options.
c. Enter the desired count (e.g., 2).
d. The system shows matching users.","How to find users by Alias Count","Mail Server","3.9.0"
"a. Go to Advance Filters.
b. In Quota Used, choose a condition (=, <, >).
c. Enter the number in MB.
d. Results update automatically.","How to filter users by mailbox quota used","Mail Server","3.9.0"
"a. Click the Reset Filters button on the right side.
b. All filters clear instantly.
c. The user list reloads with default settings.","How to reset all filters back to default","Mail Server","3.9.0"
"a. Go to Ratelimit from the left menu.
b. Click Create.
c. Select Email as Ratelimit Type.
d. Choose the User.
e. Enter Ratelimit Mails (e.g., 2000 mails).
f. Enter Ratelimit Interval (e.g., 1).
g. Select Interval Units (seconds/min/hr/day).
h. Click Create.","How to set a ratelimit for a user","Mail Server","3.9.0"
"a. Go to Policy.
b. Scroll to Purge Trash automatically after X days.
c. Set the desired number of days.
d. Repeat for Junk if needed.
e. Save","How to enable auto-purging of Trash/Junk","Mail Server","3.9.0"
"A Policy Addon allows increasing a user’s quota beyond the main policy.","What is a Policy Addon","Mail Server","3.9.0"
"a. Go to Mail Users.
b. Find the user and click to open their profile.
c. Toggle Allow Sending to “No”.
d. Save chang","How to disable sending emails for a user","Mail Server","3.9.0"
"a. Go to Mail Queue.
b. Find the email in the queue.
c. Click the Release (arrow) button.
d. Confirm.","How to release a specific queued email","Mail Server","3.9.0"
"a. Open Mail Queue.
b. Click Release All on the top right.
c. Confirm.","How to release all queued emails at once","Mail Server","3.9.0"
"a. Go to Policy → Sending Policy.
b. Choose Internal Only.
c. Save.","How to restrict sending emails outside the organization","Mail Server","3.9.0"
"a. Go to Policy.
b. Under Content Filter, select Archive.
c. Save.","How to set a user’s mailbox to archive-only","Mail Server","3.9.0"
"a. Go to Mail Logs.
b. Look for entries marked Failed or Deferred.
c. Click the message to view error codes.
d. Correct DNS, quota, or spam issues accordingly.","How to troubleshoot failed email delivery","Mail Server","3.9.0"
"a. Go to Mail Users.
b. Click on the Quota (%) column header.
c. Sorting is applied automatically.","How to sort the user list by quota usage","Mail Server","3.9.0"
"a. Go to Mail Users.
b. Check the Last Login column.
c. Look for “Not Logged In Yet”.","How to quickly identify users who never logged in?","Mail Server","3.9.0"
"a. Open Mail Users.
b. Edit the user.
c. Turn Allow Receiving → No.
d. Save.","How to disable email receiving for a user","Mail Server","3.9.0"
"a. Open Policy.
b. Under Content Filter, choose Accept only selected.
c. Select Images.
d. Save.","How to allow only image attachments","Mail Server","3.9.0"
"a. Go to Mail Logs.
b. Use Mail From filter.
c. Enter the user email.
d. View logs.","How to check mail sending history for a user","Mail Server","3.9.0"
"a. Go to Mail Moderations.
b. Choose the message.
c. Click Reject.
d. Confirm.","How to reject moderated messages","Mail Server","3.9.0"
"a. Go to Policy.
b. Use Content Filter.
c. Select category containing that extension.
d. Save.","How to block sending of specific file extensions","Mail Server","3.9.0"
"a. Go to Mail Users.
b. Click the Refresh (circular arrow) icon.
c. Data reloads.","How to refresh user list manually","Mail Server","3.9.0"
"a. Go to Branding under Settings.
b. Click Web Mail.
c. Enter the name in the Webmail name field.
d. Click Update.","How to update the webmail display name","Mail Server","3.9.0"
"a. Go to Branding.
b. Open Web Mail branding.
c. Enter the link in the Support URL field.
d. Click Update.","How to update the support URL in webmail","Mail Server","3.9.0"
"a. Go to Branding.
b. Select Logo URL (Radio button).
c. Paste the logo link in the Logo URL field.
d. Click Update","How to set a logo using a URL","Mail Server","3.9.0"
"a. Go to Branding.
b. Select Upload logo option.
c. Choose the file from your computer.
d. Click Update","How to upload a logo file instead of using a URL","Mail Server","3.9.0"
"a. Go to Branding – Web Mail.
b. Select Small logo URL or Small upload logo.
c. Provide URL or upload image.
d. Click Update.","How to change the small logo in the webmail header","Mail Server","3.9.0"
"a. Open Branding section.
b. Check the “Recommended size” note.
c. Recommended size is 300 × 62 px.
d. Upload or link accordingly.","What is the recommended size for the main logo","Mail Server","3.9.0"
"a. Go to Branding.
b. Check small logo field.
c. Size recommended is 58 × 58 px.
d. Use an image that fits the requirement.","What is the recommended size for the small logo","Mail Server","3.9.0"
"a. Go to Branding – Web Mail.
b. Choose Favicon URL or Upload favicon.
c. Add the favicon file or link.
d. Click Update.","How to change the favicon of the webmail","Mail Server","3.9.0"
